
Idaho (MST) SNOTEL Site Reynolds Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue May 02 14:30:34 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,
2029,2009-01-26,,     8.8,-99.9,
2029,2009-01-27,,     8.8,-99.9,
2029,2009-01-28,,     8.8,-99.9,
2029,2009-01-29,,     8.8,-99.9,
2029,2009-01-30,,     8.8,-99.9,
2029,2009-01-31,,     8.8,-99.9,
2029,2009-02-01,,     8.8,-99.9,
2029,2009-02-02,,     8.8,-99.9,
2029,2009-02-03,,     8.8,-99.9,
2029,2009-02-04,,     8.8,-99.9,
2029,2009-02-05,,     8.8,-99.9,
2029,2009-02-06,,     8.8,-99.9,
2029,2009-02-07,,     8.8,-99.9,
2029,2009-02-08,,     8.8,-99.9,
2029,2009-02-09,,     8.8,-99.9,
2029,2009-02-10,,     8.8,-99.9,
2029,2009-02-11,,     8.8,-99.9,
2029,2009-02-12,,     8.8,-99.9,
2029,2009-02-13,,     9.1,-99.9,
2029,2009-02-14,,     9.1,-99.9,
2029,2009-02-15,,     9.2,-99.9,
2029,2009-02-16,,     9.3,-99.9,
2029,2009-02-17,,     9.3,-99.9,
2029,2009-02-18,,     9.3,-99.9,
2029,2009-02-19,,     9.3,-99.9,
2029,2009-02-20,,     9.3,-99.9,
2029,2009-02-21,,     9.3,-99.9,
2029,2009-02-22,,     9.3,-99.9,
2029,2009-02-23,,     9.4,-99.9,
2029,2009-02-24,,     9.4,-99.9,
2029,2009-02-25,,     9.4,-99.9,
2029,2009-02-26,,     9.4,-99.9,
2029,2009-02-27,,     9.5,-99.9,
2029,2009-02-28,,     9.5,-99.9,
2029,2009-03-01,,     9.5,-99.9,
2029,2009-03-02,,     9.5,-99.9,
2029,2009-03-03,,     9.9,-99.9,
2029,2009-03-04,,    10.0,-99.9,
2029,2009-03-05,,    10.4,-99.9,
2029,2009-03-06,,    10.5,-99.9,
2029,2009-03-07,,    10.7,-99.9,
2029,2009-03-08,,    10.7,-99.9,
2029,2009-03-09,,    10.8,-99.9,
2029,2009-03-10,,    10.8,-99.9,
2029,2009-03-11,,    10.9,-99.9,
2029,2009-03-12,,    11.0,-99.9,
2029,2009-03-13,,    11.0,-99.9,
2029,2009-03-14,,    11.0,-99.9,
2029,2009-03-15,,    11.0,-99.9,
2029,2009-03-16,,    11.0,-99.9,
2029,2009-03-17,,    11.0,-99.9,
2029,2009-03-18,,    11.0,-99.9,
2029,2009-03-19,,    11.0,-99.9,
2029,2009-03-20,,    11.0,-99.9,
2029,2009-03-21,,    11.0,-99.9,
2029,2009-03-22,,    11.1,-99.9,
2029,2009-03-23,,    11.2,-99.9,
2029,2009-03-24,,    11.2,-99.9,
2029,2009-03-25,,    11.2,-99.9,
2029,2009-03-26,,    11.9,-99.9,
2029,2009-03-27,,    11.9,-99.9,
2029,2009-03-28,,    11.9,-99.9,
2029,2009-03-29,,    11.9,-99.9,
2029,2009-03-30,,    11.9,-99.9,
2029,2009-03-31,,    12.0,-99.9,
2029,2009-04-01,,    12.2,-99.9,
2029,2009-04-02,,    12.4,-99.9,
2029,2009-04-03,,    12.9,-99.9,
2029,2009-04-04,,    12.9,-99.9,
2029,2009-04-05,,    12.9,-99.9,
2029,2009-04-06,,    12.9,-99.9,
2029,2009-04-07,,    12.9,-99.9,
2029,2009-04-08,,    12.9,-99.9,
2029,2009-04-09,,    13.0,-99.9,
2029,2009-04-10,,    13.1,-99.9,
2029,2009-04-11,,    13.2,-99.9,
2029,2009-04-12,,    13.2,-99.9,
2029,2009-04-13,,    13.2,-99.9,
2029,2009-04-14,,    13.3,-99.9,
2029,2009-04-15,,    13.3,-99.9,
2029,2009-04-16,,    13.7,-99.9,
2029,2009-04-17,,    13.7,-99.9,
2029,2009-04-18,,    13.7,-99.9,
2029,2009-04-19,,    13.7,-99.9,
2029,2009-04-20,,    13.7,-99.9,
2029,2009-04-21,,    13.7,-99.9,
2029,2009-04-22,,    13.7,-99.9,
2029,2009-04-23,,    13.7,-99.9,
2029,2009-04-24,,    13.7,-99.9,
2029,2009-04-25,,    13.7,-99.9,
2029,2009-04-26,,    13.7,-99.9,
2029,2009-04-27,,    13.7,-99.9,
2029,2009-04-28,,    13.7,-99.9,
2029,2009-04-29,,    13.9,-99.9,
2029,2009-04-30,,    13.9,-99.9,
2029,2009-05-01,,    14.0,-99.9,
2029,2009-05-02,,    14.1,-99.9,
2029,2009-05-03,,    14.5,-99.9,
2029,2009-05-04,,    14.9,-99.9,
2029,2009-05-05,,    15.0,-99.9,
2029,2009-05-06,,    15.0,-99.9,
2029,2009-05-07,,    15.0,-99.9,
2029,2009-05-08,,    15.0,-99.9,
2029,2009-05-09,,    15.0,-99.9,
2029,2009-05-10,,    15.0,-99.9,
2029,2009-05-11,,    15.1,-99.9,
2029,2009-05-12,,    15.1,-99.9,
2029,2009-05-13,,    15.1,-99.9,
2029,2009-05-14,,    15.2,-99.9,
2029,2009-05-15,,    15.5,-99.9,
2029,2009-05-16,,    15.5,-99.9,
2029,2009-05-17,,    15.5,-99.9,
2029,2009-05-18,,    15.5,-99.9,
2029,2009-05-19,,    15.5,-99.9,
2029,2009-05-20,,    15.5,-99.9,
2029,2009-05-21,,    15.5,-99.9,
2029,2009-05-22,,    15.8,-99.9,
2029,2009-05-23,,    15.8,-99.9,
2029,2009-05-24,,    15.8,-99.9,
2029,2009-05-25,,    15.8,-99.9,
2029,2009-05-26,,    15.8,-99.9,
2029,2009-05-27,,    15.8,-99.9,
2029,2009-05-28,,    15.8,-99.9,
2029,2009-05-29,,    15.8,-99.9,
2029,2009-05-30,,    15.8,-99.9,
2029,2009-05-31,,    15.8,-99.9,
2029,2009-06-01,,    15.8,-99.9,
2029,2009-06-02,,    15.8,-99.9,
2029,2009-06-03,,    16.1,-99.9,
2029,2009-06-04,,    16.1,-99.9,
2029,2009-06-05,,    16.5,-99.9,
2029,2009-06-06,,    16.8,-99.9,
2029,2009-06-07,,    17.2,-99.9,
2029,2009-06-08,,    17.5,-99.9,
2029,2009-06-09,,    17.5,-99.9,
2029,2009-06-10,,    17.5,-99.9,
2029,2009-06-11,,    17.7,-99.9,
2029,2009-06-12,,    17.8,-99.9,
2029,2009-06-13,,    17.8,-99.9,
2029,2009-06-14,,    17.9,-99.9,
2029,2009-06-15,,    18.0,-99.9,
2029,2009-06-16,,    18.1,-99.9,
2029,2009-06-17,,    18.2,-99.9,
2029,2009-06-18,,    19.1,-99.9,
2029,2009-06-19,,    19.1,-99.9,
2029,2009-06-20,,    19.2,-99.9,
2029,2009-06-21,,    19.3,-99.9,
2029,2009-06-22,,    19.4,-99.9,
2029,2009-06-23,,    19.4,-99.9,
2029,2009-06-24,,    19.4,-99.9,
2029,2009-06-25,,    19.4,-99.9,
2029,2009-06-26,,    19.4,-99.9,
2029,2009-06-27,,    19.4,-99.9,
2029,2009-06-28,,    19.4,-99.9,
2029,2009-06-29,,    19.4,-99.9,
2029,2009-06-30,,    19.4,-99.9,
2029,2009-07-01,,    19.4,-99.9,
2029,2009-07-02,,    19.4,-99.9,
2029,2009-07-03,,    19.4,-99.9,
2029,2009-07-04,,    19.5,-99.9,
2029,2009-07-05,,    19.5,-99.9,
2029,2009-07-06,,    19.7,-99.9,
2029,2009-07-07,,    19.7,-99.9,
2029,2009-07-08,,    19.8,-99.9,
2029,2009-07-09,,    19.8,-99.9,
2029,2009-07-10,,    19.8,-99.9,
2029,2009-07-11,,    19.8,-99.9,
2029,2009-07-12,,    19.8,-99.9,
2029,2009-07-13,,    19.8,-99.9,
2029,2009-07-14,,    19.9,-99.9,
2029,2009-07-15,,    19.9,-99.9,
2029,2009-07-16,,    19.9,-99.9,
2029,2009-07-17,,    19.9,-99.9,
2029,2009-07-18,,    19.9,-99.9,
2029,2009-07-19,,    19.9,-99.9,
2029,2009-07-20,,    20.0,-99.9,
2029,2009-07-21,,    20.0,-99.9,
2029,2009-07-22,,    20.0,-99.9,
2029,2009-07-23,,    20.0,-99.9,
2029,2009-07-24,,    20.0,-99.9,
2029,2009-07-25,,    20.0,-99.9,
2029,2009-07-26,,    20.0,-99.9,
2029,2009-07-27,,    20.0,-99.9,
2029,2009-07-28,,    20.0,-99.9,
2029,2009-07-29,,    20.0,-99.9,
2029,2009-07-30,,    20.0,-99.9,
2029,2009-07-31,,    20.0,-99.9,
2029,2009-08-01,,    20.0,-99.9,
2029,2009-08-02,,    20.0,-99.9,
2029,2009-08-03,,    20.0,-99.9,
2029,2009-08-04,,    20.1,-99.9,
2029,2009-08-05,,    20.1,-99.9,
2029,2009-08-06,,    20.1,-99.9,
2029,2009-08-07,,    20.8,-99.9,
2029,2009-08-08,,    21.0,-99.9,
2029,2009-08-09,,    21.0,-99.9,
2029,2009-08-10,,    21.0,-99.9,
2029,2009-08-11,,    21.0,-99.9,
2029,2009-08-12,,    21.0,-99.9,
2029,2009-08-13,,    21.0,-99.9,
2029,2009-08-14,,    21.0,-99.9,
2029,2009-08-15,,    21.0,-99.9,
2029,2009-08-16,,    21.0,-99.9,
2029,2009-08-17,,    21.0,-99.9,
2029,2009-08-18,,    21.0,-99.9,
2029,2009-08-19,,    21.0,-99.9,
2029,2009-08-20,,    21.0,-99.9,
2029,2009-08-21,,    21.0,-99.9,
2029,2009-08-22,,    21.0,-99.9,
2029,2009-08-23,,    21.0,-99.9,
2029,2009-08-24,,    21.0,-99.9,
2029,2009-08-25,,    21.0,-99.9,
2029,2009-08-26,,    21.0,-99.9,
2029,2009-08-27,,    21.0,-99.9,
